"Syntaxon","EVCcode","Name","VerbalDiagnosis"
"OB01B","LIT-01B","Rorippion islandicae Béguin et Theurillat ined.","Pioneer vegetation on cryoturbated loamy-sandy edges of high-altitude shallow oligotrophic glacial lakes inundated by snow-melt of the Alps"
"OB01C","LIT-01C","Deschampsion litoralis Oberd. et Dierßen in Dierßen 1975","Pioneer vegetation of dry upper littoral of large low-altitude glacial lakes of the northern and southern rims of the Alps"
"OB01D","LIT-01D","Lobelion dortmannae Vanden Berghen 1964","Temperate-boreal amphibious Lobelia and Isoëtes communities in nutrient-poor standing waters of the Atlantic regions of Europe"
"OB01E","LIT-01E","Littorellion uniflorae Koch ex Klika 1935","Vegetation of amphibious plants in fluctuating shallow oligo-mesotrophic waters of temperate and boreal Europe"
"OB01F","LIT-01F","Hyperico elodis-Sparganion Br.-Bl. et Tx. ex Oberd. 1957","Vegetation of amphibious plants in shallow mesotrophic waters on peaty substrates in atlantic regions of Europe"
"OB01G","LIT-01G","Sphagno-Utricularion T. Müller et Görs 1960","Vegetation dominated by bladderwort and peat-moss in oligotrophic and dystrophic peaty water pools of Europe"
"OB01H","LIT-01H","Scorpidio-Utricularion minoris Pietsch 1965","Vegetation dominated by bladderwort and peat-moss in neutral-reaction peaty water pools of Europe"
"OC","ISO","Isoëto-Nanojuncetea Br.-Bl. et Tx. in Br.-Bl. et al. 1952","Pioneer ephemeral dwarf-cyperaceous vegetation in periodically freshwater flooded habitats of Eurasia"
"OC01","ISO-01","Isoëtetalia Br.-Bl. 1935","Pioneer ephemeral dwarf-herb vegetation on periodically flooded soils of the Mediterranean"
"OC01A","ISO-01A","Isoëtion Br.-Bl. 1935","Pioneer ephemeral quillwort vegetation of temporary pools and seaonally wet depressions of the Mediterranean"
"OC01B","ISO-01B","Cicendion (Rivas Goday in Rivas Goday et Borja 1961) Br.-Bl. 1967","Pioneer ephemeral herb-rich vegetation of oligotrophic temporarily flooded depressions of the Western Mediterranean"
"OC01C","ISO-01C","Lythrion tribracteati Rivas Goday et Rivas-Mart. in Rivas Goday 1970","Pioneer ephemeral herb-rich vegetation in long-lasting temporary summer pools of the inland Iberian Peninsula"
"OC01D","ISO-01D","Preslion cervinae Br.-Bl. ex Moor 1936","Pioneer ephemeral herb-rich vegetation of temporary pools on sandy soils of the Central Mediterranean"
"OC01E","ISO-01E","Agrostion salmanticae Rivas Goday 1958","Pioneer ephemeral grass-rich vegetation on acid sands in hollows (vallicares) of the northwestern Iberian Peninsula"
"OC02","ISO-02","Nanocyperetalia Klika 1935","Pioneer ephemeral herb- and graminoid-rich late-season vegetation on periodically flooded soils of temperate Europe"
"OC02A","ISO-02A","Nanocyperion Koch 1926","Pioneer dwarf cyperaceous vegetation on moist calcium rich substrates of the submediterranean and Atlantic regions of Europe"
"OC02B","ISO-02B","Radiolion linoidis Pietsch 1973","Pioneer herb-rich vegetation in temporarily flooded nutrient-poor habitats of Central and Western Europe"
"OC02C","ISO-02C","Elatino macropodae-Damasonion alismatis de Foucault 1988","Pioneer ephemeral herb-rich vegetation of temporary flooded mesotrophic depressions of the winter-mild submediterranean and atlantic regions of Europe"
"OC02D","ISO-02D","Eleocharition soloniensis Philippi 1968","Pioneer ephemeral rush-rich vegetation in temporarily flooded mesotrophic habitats of Central and Western Europe"
"OC02E","ISO-02E","Verbenion supinae Slavnić 1951","Pioneer ephemeral herb-rich vegetation in periodically flooded nutrient-rich habitats in the nemoral zone of Central and southeastern Europe"
"OC02E","ISO-02F","Myosuro-Beckmannion eruciformis Shapoval 2006","Pioneer ephemeral grass-rich vegetation in periodically flooded nutrient-rich habitats in the steppe zone of Eastern Europe"
"OD","PHR","Phragmito-Magnocaricetea Klika in Klika et Novák 1941","Reed swamp, sedge bed and herbland vegetation of freshwater or brackish water bodies and streams of Eurasia"
"OD01","PHR-01","Phragmitetalia Koch 1926","Reed swamps, sedge beds and herblands of mesotrophic and eutrophic stagnating or slowly flowing freshwater or brackish water bodies of Eurasia"
"OD01A","PHR-01A","Phragmition communis Koch 1926","Reed swamp vegetation of mesotrophic and eutrophic standing freshwater bodies or gently moving streams of boreo-temperate Eurasia"
"OD01B","PHR-01B","Typhion laxmannii Nedelcu 1968","Subsaline reed swamp vegetation of the upper littoral of the continental lakes of Eastern and southeastern Europe"
"OD02","PHR-02","Bolboschoenetalia maritimi Hejný in Holub et al. 1967","Meso-eutrophic brackish swamp reeds of European temperate coasts and the subcontinental inland regions of Central and Southern Europe"
"OD02A","PHR-02A","Scirpion maritimi Dahl et Hadač 1941","Meso-eutrophic brackish swamp reeds of European temperate coastal regions"
"OD02B","PHR-02B","Meliloto dentati-Bolboschoenion maritimi Hroudová et al. 2009","Tall-rush subsaline reed communities of the continental regions of the Iberian Peninsula and the Pannonian Basin"
"OD03","PHR-03","Saccharetalia ravennae Biondi, Blasi et Casavecchia in Biondi et al. 2014","Infra-mesomediterranean megareed beds of subsaline sandy intermittent rivers and hind dune depressions of Mediterranean Europe and North Africa"
"OD03A","PHR-03A","Imperato cylindricae-Saccharion ravennae Br.-Bl. et O. de Bolòs 1958","Infra-mesomediterranean megareed beds of subsaline sandy intermittent rivers and hind dune depressions of Mediterranean Europe and North Africa"
"OD04","PHR-04","Magnocaricetalia Pignatti 1953","Sedge-bed marsh vegetation of boreal and temperate Eurasia"
"OD04A","PHR-04A","Magnocaricion elatae Koch 1926","Sedge-bed marsh vegetation on oligotrophic to mesotrophic organic sediments of temperate Europe"
"OD04B","PHR-04B","Magnocaricion gracilis Géhu 1961","Sedge-bed marsh vegetation on eutrophic clayey sediments in riverine habitats of temperate Europe"
"OD04C","PHR-04C","Carici-Rumicion hydrolapathi Passarge 1964","Herbland vegetation on non-stabilised organic substrates in mesotrophic waters of boreal and temperate Eurasia"
"OD05","PHR-05","Nasturtio-Glycerietalia Pignatti 1953","Herblands and sedge-beds of well-oxygenated freshwater flowing streams of the temperate and mediterranean regions of Europe and Madeira"
"OD05A","PHR-05A","Glycerio-Sparganion Br.-Bl. et Sissingh in Boer 1942","Herbland vegetation of small freshwater streams and in shallow water bodies of temperate Europe"
"OD05B","PHR-05B","Phalaridion arundinaceae Kopecký 1961","Reed vegetation of freshwater flowing and seasonally fluctuating streams of temperate Europe"
"OD05C","PHR-05C","Caricion broterianae (Rivas-Mart. et al. 1986) J.A. Molina 1996","Ibero-Atlantic sedge beds of fast-flowing freshwater streams"
"OD05D","PHR-05D","Deschampsion argenteae Capelo et al. 2000","Madeirean herblands of waterfalls and on walls with slow dripping or flowing laminar water"
"OD06","PHR-06","Oenanthetalia aquaticae Hejný ex Balátová-Tuláčková et al. 1993","Vegetation of emergent helophytes in shallow waters with fluctuating water table of temperate and boreal Eurasia"
"OD06A","PHR-06A","Eleocharito palustris-Sagittarion sagittifoliae  Passarge 1964","Vegetation of emergent helophytes on muddy soils of shallows streams and ponds with fluctuating water table of temperate and boreal Eurasia"
"OD06B","PHR-06B","Alopecuro-Glycerion spicatae S. Brullo et al. 1994","Vegetation of hygrophilous herblands of shallow montane pools characterised by large water-depth fluctuations at high altitudes of Sicily"
"OD07","PHR-07","Arctophiletalia fulvae Petryakov et Gogoleva in Kholod 2007","Arctophila wetland grasslands on oligotrophic gyttja soils in the Arctic zone of northeastern Europe, Siberia and North America"
"OD07A","PHR-07A","Arctophilion fulvae Pestryakov et Gogoleva in Kholod 2007","Arctophila wetland grasslands on oligotrophic gyttja soils in the Arctic zone of northeastern Europe, Siberia and North America"
"PA","SCH","Scheuchzerio palustris-Caricetea fuscae Tx. 1937","Sedge-moss vegetation of fens, transitional mires and bog hollows in the temperate, boreal and Arctic zones of the Northern Hemisphere"
"PA01","SCH-01","Caricetalia davallianae Br.-Bl. 1950 nom. conserv. propos.","Sedge-moss vegetation of calcareous and extremely mineral rich brown-moss fens of Eurasia"
"PA01A","SCH-01A","Caricion davallianae Klika 1934","Sedge-moss calcareous mineral-rich phosphorus-limited fen vegetation of Europe and Western Asia"
"PA01B","SCH-01B","Caricion viridulo-trinervis Julve ex Hájek et Mucina in Theurillat et al. 2015","Low-sedge vegetation of subsaline dune slack fens of Western European Atlantic seaboards"
"PA01C","SCH-01C","Caricion atrofusco-saxatilis Nordhagen 1943","Low-sedge low-productivity calcareous fens on mineral soils and gravelly substrates not accumulating peat of the Alps, the Pyrenees, Scandinavia and the European Arctic archipelagos"
"PA02","SCH-02","Sphagno warnstorfii-Tomentypnetalia Lapshina 2010","Sedge and brown-moss nitrogen-limited fen vegetation of Western Siberia and the northeastern European lowlands"
"PA02A","SCH-02A","Saxifrago-Tomentypnion Lapshina 2010","Sedge and brown-moss moderately calcareous topogenic nitrogen-limited fen vegetation of the boreal and subarctic zones of Western Siberian and the northeast European lowlands"
"PA02B","SCH-02B","Caricion stantis Matveyeva 1994","Brown-moss rich fens of the subartic and Arctic zones of Svalbard, Greenland, Novaya Zemlya, Taymyr and the Canadian Arctic"
"PA02C","SCH-02C","Stygio-Caricion limosae Nordhagen 1943","Extremely waterlogged brown-moss minerotrophic neutral fens in the boreal zone of Northern Europe and on deep old peats of the Central European mountains"
"PA02D","SCH-02D","Sphagno warnstorfii-Tomentypnion nitentis Dahl 1957","Moderately calcium-rich sedge-moss fens of the boreal zone and montainous regions in the nemoral zone of Europe"
"PA03","SCH-03","Caricetalia fuscae Koch 1926","Sedge-moss vegetation of slightly to strongly acidic minerotrophic moderately-rich or poor fens in the boreal and temperate zones of the Northern Hemisphere and in the supramediterranean belt of Southern European mountains"
"PA03A","SCH-03A","Drepanocladion exannulati Krajina 1933","Arcto-alpine intermediate non-calcareous fens of boreo-arctic Europe and the high mountains of Central and Southern Europe"
"PA03B","SCH-03B","Caricion fuscae Koch 1926 nom. conserv. propos.","Sedge-moss vegetation moderately to low calcium-rich slightly acidic fens dominated by calcifuge brown-mosses or nutrient-demanding peat-mosses of Europe"
"PA03C","SCH-03C","Anagallido tenellae-Juncion bulbosi Br.-Bl. 1967","Ibero-Atlantic moderately-rich fens"
"PA03D","SCH-03D","Sphagno-Caricion canescentis Passarge (1964) 1978 nom. conserv. propos.","Peat-moss acidic poor yet minerotrophic fens of the boreal and temperate zones of the Northern Hemisphere"
"PA03E","SCH-03E","Festucion frigidae Rivas-Mart. et al. 2002","Relict oromediterranean moderately-rich fens of the Sierra Nevada (Southern Iberian Peninsula)"
"PA03F","SCH-03F","Caricion intricatae Quézel 1953","Relict oromediterranean moderately-rich fens of Corsica"
"PA03G","SCH-03G","Narthecion scardici Horvat ex Lakušić 1968","Relict oromediterranean moderately-rich fens of the Balkans"
"PA04","SCH-04","Scheuchzerietalia palustris Nordhagen ex Tx. 1937","Ombrotrophic bog-hollow vegetation of Eurasia"
"PA04A","SCH-04A","Scheuchzerion palustris Nordhagen ex Tx. 1937","Ombrotrophic bog-hollow vegetation of Eurasia"
"PB","OXY","Oxycocco-Sphagnetea Br.-Bl. et Tx. ex Westhoff et al. 1946","Dwarf-shrub, sedge and peat-moss vegetation of the Holarctic ombrotrophic bogs and wet heath on extremely acidic soils"
"PB01","OXY-01","Erico-Ledetalia palustris Tx. 1937","Dwarf-shrub, sedge and peat-moss vegetation of the raised bogs and wet heath of the atlantic and subatlantic regions of Western and Northern Europe"
"PB01A","OXY-01A","Ericion tetralicis Schwickerath 1933","Dwarf-shrub, sedge and peat-moss vegetation of moist peaty heath on gleic and podzolic soils of the atlantic and subatlantic regions of Western Europe"
"PB01B","OXY-01B","Oxycocco-Ericion tetralicis Nordhagen ex Tx. 1937","Sedge and peat-moss vegetation of oligotrophic bogs on organic peat of the atlantic and subatlantic regions of Western and Northern Europe"
"PB02","OXY-02","Sphagnetalia medii Kästner et Flössner 1933","Dwarf-shrub and peat-moss vegetation of the continental, subcontinental, boreo-continental and high-altitude raised bogs of the Northern Hemisphere"
"PB02A","OXY-02A","Oxycocco microcarpi-Empetrion hermaphroditi Nordhagen ex Du Rietz 1954 nom. conserv. propos.","Dwarf-shrub and peat-moss raised bog vegetation in the boreal and Arctic zones of Europe"
"PB02B","OXY-02B","Sphagnion medii Kästner et Flössner 1933","Dwarf-shrub and peat-moss vegetation of the subcontinental, temperate and mountain raised bogs of Eurasia"
"QA","PAR","Papaveretea rhoeadis S. Brullo et al. 2001 nom. conserv. propos.","Annual weed segetal vegetation of arable crops, gardens and vineyards in the cool-temperate and boreal zones of Eurasia"
"QA01","PAR-01","Aperetalia spicae-venti J.Tx. et Tx. in Malato-Beliz et al. 1960 nom. conserv. propos.","Weed vegetation of cereal fields and gardens on acidic and nutrient-poor soils in the cool-temperate and boreal zones of Eurasia"
"QA01A","PAR-01A","Scleranthion annui (Kruseman et Vlieger 1939) Sissingh in Westhoff et al. 1946","Weed segetal vegetation of winter cereal crops on neutral to acidic loamy and sandy-loamy soils of the (sub)atlantic regions in the nemoral zone of Europe"
"QA01B","PAR-01B","Oxalidion europeae Passarge 1978","Weed segetal vegetation of gardens and root crop fields on acidic loamy and sandy-loamy soils of the subatlantic to subcontinental regions in the nemoral zone of Europe"
"QA01C","PAR-01C","Galeopsion bifidae Abramova in Mirkin et al. 1985","Weed segetal vegetation of gardens and root crop cultures on acidic sandy-loamy soils in the continental hemiboreal and boreal zones of Eastern Europe and Siberia"
"QA02","PAR-02","Papaveretalia rhoeadis Hüppe et Hofmeister ex Theurillat et al. 1995 nom. conserv. propos.","Weed segetal vegetation of arable crops on base-rich soils in the forest, forest-steppe, steppe and subboreal zones of Europe"
"QA02A","PAR-02A","Caucalidion lappulae von Rochow 1951","Weed segetal vegetation of cereal crops on the base-rich soils of Western, Central and southeastern Europe"
"QA02B","PAR-02B","Linion Rothmaler 1944","Weed segetal vegetation of flax fields of temperate Europe"
"QA02C","PAR-02C","Veronico-Euphorbion Sissingh in Passarge 1964","Weed segetal vegetation of vineyards and gardens on the base-rich soils of Central and Western Europe"
"QA02D","PAR-02D","Matricario chamomillae-Chenopodion albi Timár 1954","Summer-annual segetal weed vegetation on clayey subsaline soils of the subcontinental regions of Central and Eastern Europe"
"QA02E","PAR-02E","Anthemido ruthenicae-Sisymbrion orientalis V. Solomakha 1990","Winter-annual segetal weed vegetation of cereal crops on base-rich soils of Crimea"
"QA02F","PAR-02F","Lamio amplexicaule-Calepinion irregularis Bagrikova 1996","Weed segetal vegetation of vineyards on the base-rich soils of Crimea"
"QA02G","PAR-02G","Chenopodio albi-Descurainion sophiae V. Solomakha et al. in V. Solomakha 1988","Weed segetal vegetation of cereal crops on chernozem soils in the forest-steppe zone of Ukraine"
"QA02H","PAR-02H","Erysimo repandi-Lycopsion orientalis V. Solomakha 1996","Weed segetal vegetation of arable crops on kastanozem and chernozem soils in the steppe zone of Ukraine"
"QA02I","PAR-02I","Lactucion tataricae Rudakov in Mirkin et al. 1985","Weed segetal vegetation on chernozem soils in the steppe zone of Southern Russia"
"QA03","PAR-03","Gladiolo italici-Ridolfietalia segeti Mucina ined.","Mediterranean winter-annual weed segetal vegetation of arable crops"
"QA03A","PAR-03A","Ridolfion segeti Nègre ex Rivas-Mart. et al. 1999","Weed segetal vegetation of arable crops on neutral loamy-clayey soils in the thermo- and mesomediterranean belts of North Africa and the Southern Mediterranean"
"QA03B","PAR-03B","Roemerion hybridae Rivas-Mart., Fernández-González et Loidi in Loidi et al. 1997","Weed segetal vegetation of arable crops on basic substrates in the meso- and supramediterranean belts of the Mediterranean"
"QA03C","PAR-03C","Rumicion bucephalophori Nezadal 1989","Weed segetal communities of winter cereal crops on nutrient-poor soils in the meso- and supramediterranean belts of the Mediterranean"
"QA03D","PAR-03D","Fumarion wirtgenii-agrariae S. Brullo in S. Brullo et Marcenò 1985","Weed segetal vegetation of vineyards, orchards and hoed crops in the thermomediterranean belt of the Western and Central Mediterranean"
"QB","SIS","Sisymbrietea Gutte et Hilbig 1975","Zoo-anthropogenic and modern anthropogenic vegetation of animal shelters and disturbed ruderal sites in cool- and cold-temperate regions of Eurasia"
"QB01","SIS-01","Sisymbrietalia sophiae J. Tx. ex Görs 1966 nom. conserv. propos.","Ruderal vegetation of annual nutrient-demanding herbs and grasses on disturbed soils in the nemoral and steppe zones of Europe"
"QB01A","SIS-01A","Atriplicion Passarge 1978 nom. conserv. propos.","Ruderal vegetation of tall summer-annual herbs on sandy-loamy nutrient-rich ruderal soils of subcontinental temperate Europe"
"QB01B","SIS-01B","Cannabidion sativae Golub et al. 2012","Ruderal vegetation of tall summer-annual herbs on heavy clayey nutrient-rich soils of continental Eastern Europe"
"QB01C","SIS-01C","Malvion neglectae (Gutte 1972) Hejný 1978","Ruderal vegetation of low-grown short-lived summer-annual herbs on nutrient-rich loamy and slightly trampled soils of temperate Europe"
"QB01D","SIS-01D","Sisymbrion officinalis Tx. et al. ex von Rochow 1951","Ruderal vegetation of nutrient-demanding short-lived winter-annual grasses on sandy anthropogenic soils of temperate Europe"
"QB02","SIS-02","Hackelio deflexae-Blitetalia foliosi Mucina in Mucina et al. 2016","Therophyte-rich zoogenic vegetation of mammal lairs under stone overhangs in the mountains of Europe, Middle East, Central Asia and southern Africa"
"QB02A","SIS-02A","Erysimo wittmannii-Hackelion Bernátová 1986","Therophyte-rich zoogenic vegetation of mammal lairs under stone overhangs in the mountains of Central Europe"
"QC","CHE","Chenopodietea Br.-Bl. in Br.-Bl. et al. 1952","Winter-annual weed segetal and ruderal vegetation of man-made habitats of the Mediterranean, the mild-winter Atlantic seaboards and Macaronesia"
"QC01","CHE-01","Brometalia rubenti-tectorum (Rivas Goday et Rivas-Mart. 1973) Rivas-Mart. et Izco 1977 nom. conserv. propos.","Winter-annual ruderal vegetation of summer-dry man-made habitats of the Mediterranean, the mild-winter Atlantic seaboards and Macaronesia"
"QC01A","CHE-01A","Alysso granatensis-Brassicion barrelieri Rivas-Mart. et Izco 1977","Spring pioneer vegetation in man-made habitats on nutrient-poor soils of the Spanish Meseta Central"
"QC01B","CHE-01B","Resedo lanceolatae-Moricandion Fernández Casas et M.E. Sánchez 1972","Annual nitrophilous and subnitrophilous vegetation of (semi)arid regions of the Southern Iberian Peninsula and Canary Islands"
"QC01C","CHE-01C","Cerintho majoris-Fedion cornucopiae Rivas-Mart. et Izco ex Peinado et al. 1986","Weed segetal vegetation on lime-rich clays in man-made habitats in the thermomediterranean belt of the Southern Iberian Peninsula"
"QC01D","CHE-01D","Echio-Galactition tomentosae O. de Bolòs et Molinier 1969","Mediterranean tall-herb ruderal vegetation on calcareous nutrient-rich disturbed man-made soils"
"QC01E","CHE-01E","Fedio-Convolvulion cupaniani S. Brullo et Spampinato 1986","Weed segetal vegetation of vineyards, abandoned fields and roadsides in the thermo- and mesomediterranean belts of Sicily"
"QC01F","CHE-01F","Hordeion murini Br.-Bl. in Br.-Bl. et al. 1936","Mediterranean ruderal winter-annual grasslands"
"QC01G","CHE-01G","Bromo-Hirschfeldion incanae Lohmeyer 1975","Macaronesian ruderal winter-annual grasslands"
"QC01H","CHE-01H","Laguro ovati-Bromion rigidi Géhu et Géhu-Franck 1985","Ephemeral therophytic vegetation on disturbed coastal sand dunes of the Atlantic coast of France"
"QC01I","CHE-01I","Linario polygalifoliae-Vulpion alopecuri Br.-Bl., Rozeira et Silva in Br.-Bl. et al. 1972","Ephemeral therophytic vegetation on disturbed coastal dunes of the submediterranean Cantabro-Atlantic Iberian seaboards"
"QC01J","CHE-01J","Taeniathero-Aegilopion geniculatae Rivas-Mart. et Izco 1977","Therophytic grasslands in abandoned overgrazed habitats of the Spanish Meseta Central"
"QC01K","CHE-01K","Laguro ovati-Vulpion fasciculatae Géhu et Biondi 1994","Ephemeral therophytic vegetation on disturbed coastal dunes of the Ligurian-Tyrrhenian seaboards"
"QC01L","CHE-01L","Securigero securidacae-Dasypyrion villosi Cano-Ortiz, Biondi et Cano in Cano-Ortiz et al. ex Di Pietro in Di Pietro et al. 2015","Therophytic anthropogenic grasslands in fallow-land habitats of the central regions of the Apennine Peninsula"
"QC02","CHE-02","Chenopodietalia Br.-Bl. in Br.-Bl. et al. 1936","Winter-annual ruderal herb-rich vegetation on nutrient-rich disturbed soils of the Mediterranean and the Macaronesia"
"QC02A","CHE-02A","Chenopodion muralis Br.-Bl. in Br.-Bl. et al. 1936","Mediterranean nutrient-demanding ruderal vegetation dominated by low-grown non-succulent herbs"
"QC03","CHE-03","Geranio purpureae-Cardaminetalia hirsutae S. Brullo in S. Brullo et Marcenò 1985","Winter-annual fringe vegetation in shaded mesic habitats of the Mediterranean, winter-mild temperate (sub)atlantic and submediterranean regions of temperate Europe and the Macaronesia"
"QC03A","CHE-03A","Geranio-Torilidion Lohmeyer et Trautmann 1970","Mesic nitrophilous winter-annual fringe vegetation of the Macaronesia"
"QC03B","CHE-03B","Geranio pusilli-Anthriscion caucalidis Rivas-Mart. 1978","Mesic nitrophilous winter-annual fringe vegetation of the Atlantic seaboards of Northern Spain and France"
"QC03C","CHE-03C","Allion triquetri O. de Bolòs 1967","Mesic nitrophilous geophyte-rich fringe vegetation of the Western Mediterranean"
"QC03D","CHE-03D","Parietarion lusitanico-mauritanicae Rivas-Mart. et al. 2002","Mesic shade-loving nitrophilous annual plant communities in the thermo- and mesomediterranean belts of the Western Mediterranean"
"QC03E","CHE-03E","Valantio muralis-Galion muralis S. Brullo in S. Brullo et Marcenò 1985","Mesic subnitrophilous winter-annual fringe and wall vegetation of the Central and Eastern Mediterranean"
"QC03F","CHE-03F","Veronico-Urticion urentis S. Brullo in S. Brullo et Marcenò 1985","Mesic subnitrophilous sciophilous weed vegetation of fertilised and irrigated citrus groves on alluvial soils of the Central Mediterranean"
"QC03G","CHE-03G","Cardaminion graecae Biondi, Pinzi et Gubellini in Biondi et al. 2013","Mesic nitrophilous winter-annual fringe vegetation of the Apennines"
"QC03H","CHE-03H","Euphorbio taurinensis-Geranion lucidi Matevski et Čarni in Mucina et al. 2009","Mesic nitrophilous winter-annual fringe vegetation of the submediterranean regions of the Balkan Peninsula"
"QD","DIG","Digitario sanguinalis-Eragrostietea minoris Mucina, Lososová et Šilc in Mucina et al. 2016","Thermophilous grass-rich anthropogenic vegetation rich in summer-annual C4 species in the southern nemoral, mediterranean, steppe and semi-desert zones of Europe"
"QD01","DIG-01","Eragrostietalia J. Tx. ex Poli 1966","Thermophilous grass-rich anthropogenous vegetation rich in C4 species on summer-dry sandy soils of Southern and Central Europe"
"QD01A","DIG-01A","Spergulo arvensis-Erodion cicutariae J.Tx. in Passarge 1964","Subthermophilous summer-annual weed vegetation on sandy and sandy-loamy soils of the atlantic to subcontinental regions in the nemoral zone of Europe"
"QD01B","DIG-01B","Eragrostion Tx. in Oberd. 1954","Thermophilous late-summer weed vegetation on sandy soils of southeastern Central Europe and the Balkan Peninsula"
"QD01C","DIG-01C","Consolido-Eragrostion pooidis Soó et Timár in Timár 1957","Thermophilous late-summer weed vegetation on heavy soils of the Pannonian Basin"
"QD01D","DIG-01D","Diplotaxidion erucoidis Br.-Bl. in Br.-Bl. et al. 1936","Weed vegetation on neutral to basic soils in the thermo- and mesomediterrannean belts of the Central and Western Mediterranean"
"QD01E","DIG-01E","Chenopodion botryos S. Brullo et Marcenò 1980","Weed vegetation on sandy acidic and nutrient-poor soils in the thermo- and mesomediterrannean belts of Sicily"
"QD01F","DIG-01F","Salsolion ruthenicae Philippi ex Oberd. 1983","Ruderal vegetation on disturbed gravelly and sandy soils of the subcontinental regions of Central Europe"
"QD01G","DIG-01G","Tamarici ramosissimae-Salsolion australis Golub 1994","Ruderal vegetation on disturbed sand dunes of the Northern Caspian region"
"QD02","DIG-02","Euphorbietalia prostratae Vicedo et al. 1997","Summer-dry trampled vegetation on sandy soils in the southern nemoral and mediterranean zones of Europe"
"QD02A","DIG-02A","Euphorbion prostratae Rivas-Mart. 1976","Summer-dry vegetation on trampled sandy soils of the Iberian Peninsula, the Balearic Islands and the Macaronesia"
"QD02B","DIG-02B","Polycarpo-Eleusinion indicae Čarni et Mucina 1998","Summer-dry vegetation of sandy trampled habitats of Northern Italy and the Illyrian region"
"QD02C","DIG-02C","Eragrostio-Polygonion arenastri Couderc et Izco ex Čarni et Mucina 1998","Summer-dry trampled vegetation on sandy soils of Western and Central Europe"
"QE","POL","Polygono-Poetea annuae Rivas-Mart. 1975","Subcosmopolitan therophyte-rich dwarf-herb vegetation of trampled habitats"
"QE01","POL-01","Polygono arenastri-Poetalia annuae Tx. in Géhu et al. 1972 corr. Rivas-Mart. et al. 1991","Subcosmopolitan therophyte-rich dwarf-herb vegetation of trampled habitats"
"QE01A","POL-01A","Polygono-Coronopodion Sissingh 1969","Herb-rich vegetation in trampled habitats in the temperate to boreal zones of Europe"
"QE01B","POL-01B","Polycarpion tetraphylli Rivas-Mart. 1975","Herb-rich vegetation in trampled sunny habitats of the Mediterranean"
"QE01C","POL-01C","Saginion procumbentis Tx. et Ohba in Géhu et al. 1972","Herb-rich vegetation in strongly trampled shady habitats of Europe"
"QF","ART","Artemisietea vulgaris Lohmeyer et al. in Tx. ex von Rochow 1951","Perennial (sub)xerophilous ruderal vegetation of the temperate and submediterranean regions of Europe"
"QF01","ART-01","Onopordetalia acanthii Br.-Bl. et Tx. ex Klika et Hadač 1944","Subxeric ruderal vegetation dominated by short-lived perennials of temperate Europe"
"QF01A","ART-01A","Onopordion acanthii Br.-Bl. et al. 1936","Thistle-dominated xero-mesophytic ruderal vegetation of subcontinental Central Europe and the Northern Balkans"
"QF01B","ART-01B","Dauco-Melilotion Görs ex Rostański et Gutte 1971","Xero-mesophytic ruderal vegetation dominated by biennial plants of temperate and subboreal Europe"
"QF01C","ART-01C","Cirsion richterano-chodati (Rivas-Mart. in Rivas-Mart. et al. 1984) Rivas-Mart. et al. 1991","Cantabro-Pyrenean thistle-dominated high-altitude ruderal vegetation"
"QF01D","ART-01D","Carduo carpetani-Cirsion odontolepidis Rivas-Mart. et al. 1986","Central Iberian thistle-dominated high-altitude ruderal vegetation"
"QF01E","ART-01E","Medicagini falcatae-Diplotaxidion tenuifoliae Levon 1997","Crimean submediterranean xero-mesophytic ruderal vegetation in sunny habitats"
"QF02","ART-02","Polygono-Artemisietalia austriacae Sakhapov et Solomeshch in A. Ishbirdin et al. 1988","Sub-anthropogenic heavily-grazed disturbed grasslands and herblands in the forest-steppe and steppe zones of Eastern Europe"
"QF02A","ART-02A","Bassio-Artemision austriacae Solomeshch in A. Ishbirdin et al. 1988","Sub-anthropogenic heavily-grazed disturbed grasslands and herblands in the forest-steppe and steppe zones of Eastern Europe"
"QF03","ART-03","Agropyretalia intermedio-repentis T. Müller et Görs 1969","Semiruderal grasslands and herblands and weed segetal vegetation of perennial crops in the nemoral, forest-steppe and subboreal zones of Europe"
"QF03A","ART-03A","Convolvulo arvensis-Agropyrion repentis Görs 1967","Semiruderal grasslands and herblands in the nemoral and subboreal zones of Europe"
"QF03B","ART-03B","Artemisio absinthii-Agropyrion intermedii T. Müller et Görs 1969","Semiruderal steppic grasslands of dry continental valleys of the Alps"
"QF03C","ART-03C","Artemisio marschallianae-Elytrigion intermedii Korotchenko et Didukh 1997","Semiruderal secondary calcicolous steppic grasslands on steep slopes in the forest-steppe zone of Ukraine and southeastern Russia"
"QF03D","ART-03D","Rorippo austriacae–Falcarion vulgaris Levon 1997","Semiruderal meso-xerophytic steppic vegetation of Crimea"
"QF03E","ART-03E","Trifolio-Medicaginion sativae Balázs 1944","Perennial weed vegetation of perennial animal fodder crops on nutrient-rich soils in the nemoral zone of Central Europe"
"QF03F","ART-03F","Achilleion millefolii Abramova et Rudakov in Mirkin et al. 1985","Perennial weed vegetation of perennial crops of the steppe and forest-steppe zones of European Russia"
"QF04","ART-04","Carthametalia lanati S. Brullo in S. Brullo et Marcenò 1985","Thistle-dominated ruderal vegetation on disturbed calcareous substrates of the submediterranean regions of Southern Europe"
