taxon,evc.taxon
Papaver hybridum,Papaver hybridum
Papaver pilosum,
Papaver rhoeas,Papaver rhoeas
Papaver somniferum s.lat.,Papaver somniferum
Papaver somniferum ssp. setigerum,Papaver somniferum
Papaver somniferum ssp. somniferum,Papaver somniferum
Paradisea liliastrum,Paradisea liliastrum
Parietaria judaica,Parietaria judaica
Parietaria officinalis,Parietaria officinalis
Paris quadrifolia,Paris quadrifolia
Parnassia palustris,Parnassia palustris
Paronychia kapela,
Parthenocissus inserta,Parthenocissus inserta
Parthenocissus quinquefolia s.str.,Parthenocissus quinquefolia
Parthenocissus tricuspidata,
Pastinaca sativa ssp. sativa,Pastinaca sativa subsp. sativa
Paulownia tomentosa,
Pedicularis acaulis,Pedicularis acaulis
Pedicularis aspleniifolia,Pedicularis aspleniifolia
Pedicularis elongata,Pedicularis elongata
Pedicularis foliosa,Pedicularis foliosa
Pedicularis kerneri,Pedicularis kerneri
Pedicularis oederi,Pedicularis oederi
Pedicularis palustris ssp. palustris,Pedicularis palustris
Pedicularis portenschlagii,
Pedicularis recutita,Pedicularis recutita
Pedicularis rosea ssp. rosea,Pedicularis rosea subsp. rosea
Pedicularis rostratocapitata ssp. rostratocapitata,Pedicularis rostratocapitata
Pedicularis rostratospicata ssp. rostratospicata,Pedicularis rostratospicata subsp. rostratospicata
Pedicularis sceptrum-carolinum,Pedicularis sceptrum-carolinum
Pedicularis sylvatica ssp. sylvatica,Pedicularis sylvatica subsp. sylvatica
Pedicularis tuberosa,Pedicularis tuberosa
Pedicularis verticillata,Pedicularis verticillata
Pellia endiviifolia,Pellia endiviifolia
Pellia epiphylla,Pellia epiphylla
Peltaria alliacea,Peltaria alliacea
Peltigera aphthosa,Peltigera aphthosa
Peltigera canina,Peltigera canina
Peltigera rufescens,Peltigera rufescens
Pennisetum alopecuroides,
Peplis portula,Lythrum portula
Persicaria affinis,
Persicaria amphibia,Persicaria amphibia var. amphibia
Persicaria bistorta,Bistorta officinalis
Persicaria capitata,
Persicaria hydropiper,Persicaria hydropiper
Persicaria lapathifolia s.lat.,
Persicaria lapathifolia ssp. brittingeri,Persicaria lapathifolia subsp. brittingeri
Persicaria lapathifolia ssp. lapathifolia,Persicaria lapathifolia subsp. lapathifolia
Persicaria lapathifolia ssp. mesomorpha,
Persicaria lapathifolia ssp. pallida,Persicaria lapathifolia subsp. pallida
Persicaria maculosa,Persicaria maculosa
Persicaria minor,Persicaria minor
Persicaria mitis,Persicaria mitis
Persicaria orientalis,Persicaria orientalis
Persicaria polystachya,
Persicaria vivipara,Persicaria vivipara
Petasites albus,Petasites albus
Petasites hybridus,Petasites hybridus
Petasites paradoxus,Petasites paradoxus
Petrocallis pyrenaica,Petrocallis pyrenaica
Petrorhagia prolifera s.str.,Petrorhagia prolifera
Petrorhagia saxifraga,Petrorhagia saxifraga subsp. saxifraga
Petroselinum crispum,
Petunia -Hybriden,
Peucedanum alsaticum,Peucedanum alsaticum
Peucedanum austriacum s.str.,Peucedanum austriacum
Peucedanum carvifolia,Dichoropetalum carvifolia
Peucedanum officinale,Peucedanum officinale subsp. officinale
Peucedanum oreoselinum,Peucedanum oreoselinum
Peucedanum ostruthium,Peucedanum ostruthium
Peucedanum palustre,Peucedanum palustre
Peucedanum rablense,Peucedanum rablense
Peucedanum verticillare,Peucedanum altissimum
Phacelia tanacetifolia,Phacelia tanacetifolia
Phacelia viscida,
Phaeorrhiza nimbosa,Phaeorrhiza nimbosa
Phalaris arundinacea,Phalaroides arundinacea
Phalaris arundinacea var. picta,
Phalaris canariensis,Phalaris canariensis
Phaseolus coccineus,
Phaseolus vulgaris,
Phedimus aizoon s.lat.,
Phedimus hybridus,
Phedimus spurius,
Phegopteris connectilis,Phegopteris connectilis
Phelipanche arenaria,Orobanche arenaria
Phelipanche purpurea,Orobanche purpurea
Phelipanche ramosa,Orobanche ramosa
Philadelphus coronarius,Philadelphus coronarius
Philonotis calcarea,Philonotis calcarea
Philonotis fontana,Philonotis fontana
Philonotis seriata,Philonotis seriata
Philonotis tomentella,Philonotis tomentella
Phleum commutatum,Phleum alpinum
Phleum hirsutum,Phleum hirsutum
Phleum nodosum,Phleum nodosum
Phleum phleoides,Phleum phleoides
Phleum pratense agg.,
Phleum pratense s.str.,Phleum pratense subsp. pratense
Phleum rhaeticum,Phleum rhaeticum
Phlomis tuberosa,Phlomis tuberosa
Phlox glaberrima,
Phlox maculata,
Phlox ovata,
Phlox paniculata,
Phlox subulata,
Phragmites australis ssp. australis,Phragmites australis
Physalis alkekengi s.lat.,Alkekengi officinarum
Physalis alkekengi var. alkekengi,Alkekengi officinarum
Physalis alkekengi var. franchetii,Alkekengi officinarum
Physalis peruviana,
Physalis philadelphica,
Physocarpus opulifolius,Physocarpus opulifolius
Physostegia virginiana,
Phyteuma betonicifolium,Phyteuma betonicifolium
Phyteuma confusum,Phyteuma confusum
Phyteuma globulariifolium,Phyteuma globulariifolium subsp. globulariifolium
Phyteuma hemisphaericum,Phyteuma hemisphaericum
Phyteuma nigrum,Phyteuma nigrum
Phyteuma orbiculare s.str.,Phyteuma orbiculare
Phyteuma ovatum,Phyteuma ovatum
Phyteuma persicifolium,Phyteuma persicifolium
Phyteuma sieberi,Phyteuma sieberi
Phyteuma spicatum s.lat.,
Phyteuma spicatum ssp. coeruleum,Phyteuma spicatum subsp. coeruleum
Phyteuma spicatum ssp. spicatum,Phyteuma spicatum subsp. spicatum
Phytolacca acinosa s.lat.,Phytolacca acinosa
Phytolacca americana,Phytolacca americana
Picea abies,Picea abies subsp. abies
Picea pungens,
Picris hieracioides s.lat.,
Picris hieracioides ssp. hieracioides,Picris hieracoides subsp. hieracioides
Picris hieracioides ssp. spinulosa,Picris hieracioides subsp. spinulosa
Picris hieracioides ssp. villarsii,Picris hieracioides subsp. umbellata
Pimpinella alpina,Pimpinella alpina
Pimpinella anisum,Pimpinella anisum
Pimpinella major s.lat.,
Pimpinella major var. major,Pimpinella major subsp. major
Pimpinella major var. rubra,Pimpinella major subsp. rubra
Pimpinella saxifraga s.lat.,
Pimpinella saxifraga ssp. nigra,Pimpinella nigra
Pimpinella saxifraga ssp. saxifraga,Pimpinella saxifraga
Pinellia ternata,
Pinguicula alpina,Pinguicula alpina
Pinguicula leptoceras,Pinguicula leptoceras
Pinguicula vulgaris,Pinguicula vulgaris
Pinus cembra,Pinus cembra
Pinus mugo s.lat.,
Pinus mugo s.str.,Pinus mugo subsp. mugo
Pinus nigra ssp. nigra,Pinus nigra subsp. nigra
Pinus strobus,
Pinus sylvestris,Pinus sylvestris var. sylvestris
Pinus uncinata,Pinus mugo subsp. uncinata
Piptatherum miliaceum,Piptatherum miliaceum subsp. miliaceum
Piptatherum virescens,Piptatherum virescens
Pisum sativum var. arvense,Pisum sativum subsp. sativum
Pisum sativum var. sativum,Pisum sativum subsp. sativum
Plagiomnium affine,Plagiomnium affine
Plagiothecium laetum var. secundum,Plagiothecium laetum
Plantago alpina,Plantago alpina
Plantago altissima,Plantago altissima
Plantago arenaria,Plantago arenaria
Plantago atrata ssp. atrata,Plantago atrata subsp. atrata
Plantago lanceolata,Plantago lanceolata
Plantago major s.lat.,
Plantago major ssp. intermedia,Plantago major subsp. intermedia
Plantago major ssp. major,Plantago major subsp. major
Plantago maritima,Plantago maritima subsp. maritima
Plantago media,Plantago media
Plantago strictissima,Plantago maritima subsp. serpentina
Platanthera bifolia,Platanthera bifolia
Platanthera chlorantha,Platanthera chlorantha
Platanthera montana,Platanthera montana
Platanthera muelleri,
Pleurospermum austriacum,Pleurospermum austriacum
Pleurozium schreberi,Pleurozium schreberi
Poa alpina,Poa alpina
Poa angustifolia,Poa angustifolia
Poa annua ssp. annua,Ochlopoa anuua
Poa badensis,Poa badensis
Poa bigelovii,
Poa bulbosa s.str.,Poa bulbosa subsp. bulbosa
Poa carpatica s.lat.,
Poa carpatica ssp. carpatica,
Poa carpatica ssp. supramontana,
Poa cenisia,Poa cenisia
Poa chaixii,Poa chaixii
Poa compressa,Poa compressa
Poa glauca,Poa glauca subsp. glauca
Poa humilis,Poa pratensis subsp. irrigata
Poa hybrida,Poa hybrida
Poa laxa,Poa laxa
Poa minor,Poa minor
Poa molinieri,Poa molinerii
Poa nemoralis,Poa nemoralis subsp. nemoralis
Poa palustris,Poa palustris
Poa pratensis,Poa pratensis subsp. pratensis
Poa remota,Poa remota
Poa stiriaca,Poa stiriaca
Poa supina,Ochlopoa supina
Poa trivialis,Poa trivialis subsp. trivialis
Poa variegata,Poa variegata
Pohlia drummondii,Pohlia drummondii
Pohlia wahlenbergii var. wahlenbergii,Pohlia wahlenbergii
Polemonium caeruleum,Polemonium caeruleum
Polycarpon tetraphyllum,Polycarpon tetraphyllum subsp. tetraphyllum
Polycnemum arvense,Polycnemum arvense
Polycnemum majus,Polycnemum majus
Polygala alpestris s.lat.,
Polygala alpestris ssp. alpestris,Polygala alpestris subsp. alpestris
Polygala amara s.lat.,
Polygala amara ssp. amara,Polygala amara subsp. amara
Polygala amara ssp. brachyptera,Polygala amara subsp. brachyptera
Polygala amarella,Polygala amarella
Polygala chamaebuxus,Polygala chamaebuxus
Polygala comosa,Polygala comosa
Polygala major,Polygala major
Polygala vulgaris s.lat.,
Polygala vulgaris ssp. oxyptera,Polygala vulgaris subsp. oxyptera
Polygala vulgaris ssp. vulgaris,Polygala vulgaris subsp. vulgaris
Polygonatum latifolium,Polygonatum latifolium
Polygonatum multiflorum,Polygonatum multiflorum
Polygonatum odoratum,Polygonatum odoratum
Polygonatum verticillatum,Polygonatum verticillatum
Polygonum aviculare s.lat.,Polygonum aviculare
Polygonum aviculare ssp. aviculare,Polygonum aviculare
Polygonum aviculare ssp. depressum s.lat.,Polygonum aviculare
Polygonum aviculare ssp. rurivagum,Polygonum aviculare
Polypodium interjectum,Polypodium interjectum
Polypodium vulgare,Polypodium vulgare
Polypodium vulgare s.str.,Polypodium vulgare
Polypogon monspeliensis,Polypogon monspeliensis
Polystichum aculeatum s.str.,Polystichum aculeatum
Polystichum braunii,Polystichum braunii
Polystichum lonchitis,Polystichum lonchitis
Polystichum setiferum,Polystichum setiferum
Polytrichum formosum,Polytrichum formosum
Polytrichum piliferum,Polytrichum piliferum
Polytrichum strictum,Polytrichum strictum
Populus alba,Populus alba
Populus balsamifera,
Populus gileadensis,
Populus nigra,Populus nigra
Populus simonii,
Populus tremula,Populus tremula
Porella platyphylla,Porella platyphylla
Portulaca grandiflora,Portulaca grandiflora
Portulaca oleracea s.lat.,Portulaca oleracea
Portulaca oleracea ssp. granulatostellulata,Portulaca oleracea
Portulaca oleracea ssp. nitida,Portulaca oleracea
Portulaca oleracea ssp. oleracea,Portulaca oleracea
Portulaca oleracea ssp. papillatostellulata,Portulaca oleracea
Potamogeton acutifolius,Potamogeton acutifolius
Potamogeton alpinus,Potamogeton alpinus
Potamogeton berchtoldii,Potamogeton berchtoldii
Potamogeton coloratus,Potamogeton coloratus
Potamogeton compressus,Potamogeton compressus
Potamogeton crispus,Potamogeton crispus
Potamogeton filiformis,Stuckenia filiformis subsp. filiformis
Potamogeton friesii,Potamogeton friesii
Potamogeton gramineus,Potamogeton gramineus
Potamogeton lucens,Potamogeton lucens
Potamogeton natans,Potamogeton natans
Potamogeton nodosus,Potamogeton nodosus
Potamogeton obtusifolius,Potamogeton obtusifolius
Potamogeton pectinatus s.lat.,
Potamogeton pectinatus ssp. balatonicus,Potamogeton filiformis
Potamogeton pectinatus ssp. pectinatus,Potamogeton filiformis
Potamogeton perfoliatus,Potamogeton perfoliatus
Potamogeton polygonifolius,Potamogeton polygonifolius
Potamogeton praelongus,Potamogeton praelongus
Potamogeton pusillus s.str.,Potamogeton pusillus
Potamogeton trichoides,Potamogeton trichoides
Potentilla alba,Potentilla alba
Potentilla anglica,Potentilla anglica
Potentilla anserina,Potentilla anserina subsp. anserina
Potentilla argentea s.lat.,Potentilla argentea
Potentilla aurea,Potentilla aurea subsp. aurea
Potentilla brauneana,Potentilla brauneana
Potentilla caulescens ssp. caulescens,Potentilla caulescens subsp. caulescens
Potentilla clusiana,Potentilla clusiana
Potentilla collina agg.,
Potentilla crantzii,Potentilla crantzii
Potentilla crantzii var. cranztzii,Potentilla crantzii
Potentilla crantzii var. serpentini,Potentilla crantzii
Potentilla erecta,Potentilla erecta
Potentilla frigida,Potentilla frigida
Potentilla grandiflora,Potentilla grandiflora
Potentilla heptaphylla,Potentilla heptaphylla subsp. heptaphylla
Potentilla incana,Potentilla incana
Potentilla inclinata,Potentilla inclinata
Potentilla indica,
Potentilla intermedia,
Potentilla micrantha,Potentilla micrantha
Potentilla neumanniana,
Potentilla nitida,Potentilla nitida
Potentilla nivea,Potentilla nivea
Potentilla norvegica,Potentilla norvegica
Potentilla pusilla,Potentilla pusilla
Potentilla recta s.str.,Potentilla recta
Potentilla reptans,Potentilla reptans
Potentilla rupestris,Drymocallis rupestris
Potentilla sterilis,Potentilla sterilis
Potentilla supina,Potentilla supina
Potentilla verna agg.,
Preissia quadrata,Preissia quadrata
Prenanthes purpurea,Prenanthes purpurea
Primula auricula s.lat.,
Primula auricula ssp. auricula,Primula auricula subsp. auricula
Primula auricula ssp. balbisii,Primula auricula subsp. balbisii
Primula auricula ssp. hungarica,Primula auricula subsp. hungarica
Primula clusiana,Primula clusiana
Primula elatior s.str.,Primula elatior subsp. elatior
Primula farinosa,Primula farinosa
Primula glutinosa,Primula glutinosa
Primula halleri,Primula halleri
Primula hirsuta,Primula hirsuta
Primula integrifolia,Primula integrifolia
Primula matthioli,Primula matthioli
Primula minima,Primula minima
Primula tyrolensis,Primula tyrolensis
Primula veris s.lat.,
Primula veris ssp. veris,Primula veris subsp. veris
Primula villosa,Primula villosa
Primula vulgaris ssp. vulgaris,Primula vulgaris subsp. vulgaris
Primula wulfeniana ssp. wulfeniana,Primula wulfeniana
Prunella grandiflora,Prunella grandiflora subsp. grandiflora
Prunella laciniata,Prunella laciniata
Prunella vulgaris,Prunella vulgaris
Prunus avium s.lat.,Prunus avium
Prunus avium ssp. avium,Prunus avium
Prunus cerasifera,Prunus cerasifera
Prunus cerasus,Prunus cerasus
Prunus domestica s.lat.,
Prunus domestica ssp. domestica,
Prunus domestica ssp. insititia,Prunus domestica subsp. insititia
Prunus fruticosa,Prunus fruticosa
Prunus laurocerasus,Prunus laurocerasus
Prunus mahaleb,Prunus mahaleb subsp. mahaleb
Prunus padus s.lat.,
Prunus padus ssp. borealis,Prunus padus subsp. borealis
Prunus padus ssp. padus,Prunus padus subsp. padus
Prunus persica,
Prunus serotina,Prunus serotina
Prunus spinosa,Prunus spinosa
Pseudofumaria lutea,Pseudofumaria lutea
Pseudolysimachion barrelieri ssp. barrelieri,Veronica barrelieri subsp. barrelieri
Pseudolysimachion barrelieri ssp. nitens,Veronica barrelieri subsp. nitens
Pseudorchis albida s.lat.,
Pseudorchis albida ssp. albida,Pseudorchis albida subsp. albida
Pseudorchis albida ssp. tricuspis,Pseudorchis albida subsp. tricuspis
Pseudotsuga menziesii,
Pseudoturritis turrita,Pseudoturritis turrita
Psora decipiens,Psora decipiens
Pteridium aquilinum,Pteridium aquilinum subsp. aquilinum
Ptilium crista-castrensis,Ptilium crista-castrensis
Puccinellia distans s.str.,Puccinellia distans subsp. distans
Pulicaria dysenterica ssp. dysenterica,Pulicaria dysenterica
Pulicaria vulgaris,Pulicaria vulgaris
Pulmonaria angustifolia,Pulmonaria angustifolia
Pulmonaria kerneri,Pulmonaria kerneri
Pulmonaria mollis s.lat.,
Pulmonaria mollis ssp. alpigena,Pulmonaria mollis subsp. alpigena
Pulmonaria mollis ssp. mollis,Pulmonaria mollis subsp. mollis
Pulmonaria obscura,Pulmonaria obscura
Pulmonaria officinalis agg.,
Pulmonaria officinalis s.str.,Pulmonaria officinalis
Pulmonaria saccharata,Pulmonaria saccharata
Pulmonaria stiriaca,Pulmonaria stiriaca
Pulsatilla alpina s.lat.,
Pulsatilla alpina ssp. alba,Pulsatilla alpina subsp. alba
Pulsatilla alpina ssp. alpina,Pulsatilla alpina subsp. alpina
Pulsatilla alpina ssp. apiifolia,Pulsatilla alpina subsp. apiifolia
Pulsatilla alpina ssp. schneebergensis,Pulsatilla alpina subsp. schneebergensis
Pulsatilla grandis,Pulsatilla grandis
Pulsatilla halleri agg.,
Pulsatilla patens,Pulsatilla patens
Pulsatilla pratensis s.lat.,
Pulsatilla pratensis ssp. hungarica,Pulsatilla pratensis subsp. hungarica
Pulsatilla pratensis ssp. nigricans,Pulsatilla pratensis subsp. nigricans
Pulsatilla styriaca,Pulsatilla styriaca
Pulsatilla vernalis,Pulsatilla vernalis
Pulsatilla vulgaris,Pulsatilla vulgaris
Puschkinia scilloides,
Pyracantha coccinea,Pyracantha coccinea
Pyrola chlorantha,Pyrola chlorantha
Pyrola media,Pyrola media
Pyrola minor,Pyrola minor
Pyrola rotundifolia ssp. rotundifolia,Pyrola rotundifolia
Pyrus communis,Pyrus communis subsp. communis
Pyrus communis agg.,
Pyrus nivalis,Pyrus nivalis
Pyrus pyraster,Pyrus communis subsp. pyraster
Quercus cerris,Quercus cerris
Quercus petraea s.lat.,Quercus petraea subsp. petraea
Quercus pubescens ssp. pubescens,Quercus pubescens subsp. pubescens
Quercus robur,Quercus robur subsp. robur
Quercus rubra,
Racomitrium canescens s.lat.,Racomitrium canescens
Racomitrium canescens ssp. canescens,Racomitrium canescens
Racomitrium elongatum,Racomitrium elongatum
Racomitrium lanuginosum,Racomitrium lanuginosum
Racomitrium sudeticum,Racomitrium sudeticum
Radiola linoides,Radiola linoides
Ranunculus aconitifolius,Ranunculus aconitifolius
Ranunculus acris ssp. acris,Ranunculus acris subsp. acris
Ranunculus alpestris s.str.,Ranunculus alpestris subsp. alpestris
Ranunculus aquatilis s.str.,Ranunculus aquatilis
Ranunculus argoviensis,Ranunculus argoviensis
Ranunculus arvensis,Ranunculus arvensis
Ranunculus auricomus agg.,
Ranunculus basitruncatus,
Ranunculus breyninus,Ranunculus breyninus
Ranunculus bulbosus s.str.,Ranunculus bulbosus subsp. bulbosus
Ranunculus cassubicifolius,Ranunculus cassubicifolius
Ranunculus circinatus,Ranunculus circinatus
Ranunculus confervoides,Ranunculus trichophyllus subsp. eradicatus
Ranunculus crenatus,Ranunculus crenatus
Ranunculus flammula s.str.,Ranunculus flammula
Ranunculus fluitans,Ranunculus fluitans
Ranunculus glacialis,Ranunculus glacialis
Ranunculus hybridus,Ranunculus hybridus
Ranunculus lanuginosus,Ranunculus lanuginosus
Ranunculus lingua,Ranunculus lingua
Ranunculus montanus s.str.,Ranunculus montanus
Ranunculus nemorosus,Ranunculus nemorosus
Ranunculus pedatus,Ranunculus pedatus
Ranunculus peltatus s.str.,Ranunculus peltatus subsp. peltatus
Ranunculus penicillatus,Ranunculus penicillatus subsp. penicillatus
Ranunculus phragmiteti,Ranunculus phragmiteti
Ranunculus platanifolius,Ranunculus platanifolius
Ranunculus polyanthemophyllus,Ranunculus polyanthemos subsp. polyanthemophyllus
Ranunculus polyanthemos s.str.,Ranunculus polyanthemos subsp. polyanthemos
Ranunculus praetermissus,Ranunculus praetermissus
Ranunculus pygmaeus,Ranunculus pygmaeus
Ranunculus repens,Ranunculus repens
Ranunculus reptans,Ranunculus reptans
Ranunculus sardous,Ranunculus sardous
Ranunculus sceleratus,Ranunculus sceleratus
Ranunculus seguieri,Ranunculus seguieri subsp. seguieri
Ranunculus serpens,Ranunculus polyanthemos subsp. serpens
Ranunculus thora,Ranunculus thora
Ranunculus traunfellneri,Ranunculus traunfellneri
Ranunculus trichophyllus s.str.,Ranunculus trichophyllus subsp. trichophyllus
Ranunculus truniacus,
Ranunculus variabilis,Ranunculus variabilis
Ranunculus villarsii,Ranunculus villarsii
Raphanus raphanistrum,Raphanus raphanistrum subsp. raphanistrum
Raphanus sativus,Raphanus sativus
Rapistrum perenne,Rapistrum perenne
Rapistrum rugosum ssp. orientale,Rapistrum rugosum
Rapistrum rugosum ssp. rugosum,Rapistrum rugosum
Reseda lutea ssp. lutea,Reseda lutea subsp. lutea
Reseda luteola,Reseda luteola
Reseda odorata,
Reseda phyteuma,Reseda phyteuma subsp. phyteuma
Rhamnus cathartica,Rhamnus carthartica
Rhamnus fallax,Rhamnus alpina subsp. fallax
Rhamnus pumila,Rhamnus pumila
Rhamnus saxatilis ssp. saxatilis,Rhamnus saxatilis subsp. saxatilis
Rheum rhabarbarum,
Rhinanthus alectorolophus s.lat.,
Rhinanthus alectorolophus ssp. alectorolophus,Rhinanthus alectorolophus subsp. alectorolophus
Rhinanthus alectorolophus ssp. facchinii,
Rhinanthus alectorolophus ssp. freynii,Rhinanthus alectorolophus subsp. freynii
Rhinanthus aristatus agg.,
Rhinanthus borbasii,Rhinanthus borbasii
Rhinanthus glacialis,Rhinanthus glacialis
Rhinanthus minor,Rhinanthus minor
Rhinanthus pulcher,Rhinanthus alpinus
Rhinanthus serotinus s.str.,Rhinanthus angustifolius
Rhodiola rosea,Rhodiola rosea
Rhododendron ferrugineum,Rhododendron ferrugineum
Rhododendron hirsutum,Rhododendron hirsutum
Rhododendron japonicum,
Rhododendron ponticum,Rhododendron ponticum
Rhododendron tomentosum,Rhododendron tomentosum
Rhodothamnus chamaecistus,Rhodothamnus chamaecistus
Rhus typhina,
Rhynchospora alba,Rhynchospora alba
Rhynchospora fusca,Rhynchospora fusca
Rhytidiadelphus loreus,Rhytidiadelphus loreus
Rhytidium rugosum,Rhytidium rugosum
Ribes alpinum,Ribes alpinum
Ribes nigrum,Ribes nigrum
Ribes petraeum,Ribes petraeum
Ribes rubrum,Ribes rubrum
Ribes spicatum,Ribes spicatum
Ribes uva-crispa s.lat.,Ribes uva-crispa
Ribes uva-crispa ssp. grossularia,Ribes uva-crispa
Ribes uva-crispa ssp. uva-crispa,Ribes uva-crispa
Riccia ciliifera,Riccia ciliifera
Riccia fluitans,Riccia fluitans
Ricinus communis,Ricinus communis
Robinia pseudacacia,Robinia pseudoacacia
Rorippa amphibia,Rorippa amphibia
Rorippa austriaca,Rorippa austriaca
Rorippa palustris,Rorippa palustris
Rorippa sylvestris s.str.,Rorippa sylvestris
Rosa agrestis,Rosa agrestis
Rosa alba,
Rosa arvensis,Rosa arvensis
Rosa balsamica,Rosa balsamica
Rosa caesia s.str.,Rosa caesia
Rosa canina agg.,
Rosa canina s.lat.,
Rosa canina s.str.,Rosa canina
Rosa canina var. andegavensis,Rosa canina
Rosa canina var. blondeana,Rosa canina
Rosa canina var. canina,Rosa canina
Rosa canina var. squarrosa,Rosa canina
Rosa centifolia,
Rosa corymbifera,Rosa corymbifera
Rosa dumalis s.str.,Rosa dumalis
Rosa elliptica,Rosa inodora
Rosa gallica,Rosa gallica
Rosa glauca,Rosa glauca
Rosa jundzillii,Rosa marginata
Rosa majalis,Rosa majalis
Rosa micrantha,Rosa micrantha
Rosa montana,Rosa montana
Rosa multiflora,
Rosa pendulina,Rosa pendulina
Rosa pseudoscabriuscula,Rosa pseudoscabriuscula
Rosa rhaetica,Rosa rhaetica
Rosa rubiginosa,Rosa rubiginosa
Rosa rugosa,Rosa rugosa
Rosa spinosissima,Rosa spinosissima
Rosa stylosa,Rosa stylosa
Rosa subcanina,Rosa subcanina
Rosa subcollina,Rosa subcollina
Rosa tomentosa,Rosa tomentosa
Rosa villosa s.str.,Rosa villosa
Rosa vosagiaca,Rosa dumalis
Rosa vosagiaca agg.,
Rubus albiflorus,Rubus albiflorus
Rubus allegheniensis,
Rubus amphistrophos,Rubus amphistrophos
Rubus apricus,
Rubus argyropsis,
Rubus armeniacus,Rubus armeniacus
Rubus austromoravicus,
Rubus barrandienicus,
Rubus bavaricus,Rubus bavaricus
Rubus bayeri,
Rubus bertramii,Rubus bertramii
Rubus bifrons,Rubus bifrons
Rubus caesius,Rubus caesius
Rubus caflischii,Rubus caflischii
Rubus canescens,Rubus canescens
Rubus celtidifolius,
Rubus chloocladus,
Rubus chlorostachys,
Rubus clusii,Rubus clusii
Rubus constrictus,Rubus constrictus
Rubus decipiens,
Rubus dollnensis,
Rubus elatior,Rubus elatior
Rubus epipsilos,Rubus epipsilos
Rubus erythradenes,
Rubus erythrostachys,
Rubus fasciculatus,Rubus fasciculatus
Rubus flexuosus,Rubus flexuosus
Rubus franconicus,Rubus franconicus
Rubus fruticosus agg.,
Rubus garrulimontis,
Rubus glaciacus,
Rubus goniophorus,Rubus goniophorus
Rubus goniophylloides,
Rubus goniophyllus,
Rubus gothicus,Rubus gothicus
Rubus grabowskii,Rubus grabowskii
Rubus gracilis ssp. gracilis,Rubus gracilis
Rubus gremlii,Rubus gremlii
Rubus guentheri,Rubus guentheri
Rubus hebecaulis,
Rubus helveticus,
Rubus hercynicus,
Rubus hirtus s.str.,Rubus hirtus
Rubus humifusus,
Rubus idaeus,Rubus idaeus
Rubus indusiatus,
Rubus kletensis,
Rubus kuleszae,
Rubus laciniatus,Rubus laciniatus
Rubus laetus,
Rubus lamyi,
Rubus laschii,
Rubus leucomacrophyllus,
Rubus lilacinus,
Rubus liubensis,Rubus liubensis
Rubus mollis,Rubus mollis
Rubus montanus,Rubus montanus
Rubus muhelicus,
Rubus nemoralis,Rubus nemoralis
Rubus nessensis,
Rubus obrosus,
Rubus opacus,
Rubus pallidifolius,
Rubus pedemontanus,Rubus pedemontanus
Rubus pendulinus,
Rubus pericrispatus,
Rubus perrobustus,
Rubus persicinus,
Rubus phoenicolasius,
Rubus phyllostachys,Rubus phyllostachys
Rubus piletostachys,
Rubus plicatus,Rubus plicatus
Rubus praecox,Rubus praecox
Rubus preissmannii,
Rubus pseudopsis,Rubus pseudopsis
Rubus radula,Rubus radula
Rubus rivularis,
Rubus rubellus,
Rubus rubiginosus,
Rubus rudis,Rubus rudis
Rubus rumorum,
Rubus salisburgensis,Rubus salisburgensis
Rubus saxatilis,Rubus saxatilis
Rubus scaber,
Rubus schleicheri,Rubus schleicheri
Rubus schnetzleri,
Rubus scissoides,
Rubus sect. Rubus,
Rubus serpens,
Rubus setiger,
Rubus silesiacus,
Rubus stenopus,
Rubus suavifolius,
Rubus subaculeatus,
Rubus subsect. Hiemales,
Rubus subsect. Hiemales ser. Canescentes,
Rubus subsect. Hiemales ser. Discolores,
Rubus subsect. Hiemales ser. Discoloroides,
Rubus subsect. Hiemales ser. Glandulosi,
Rubus subsect. Hiemales ser. Histrix,
Rubus subsect. Hiemales ser. Pallidi,
Rubus subsect. Hiemales ser. Radula,
Rubus subsect. Hiemales ser. Rivulares,
Rubus subsect. Hiemales ser. Rudes,
Rubus subsect. Hiemales ser. Sylvatici,
Rubus subsect. Hiemales ser. Tereticaules,
Rubus subsect. Hiemales ser. Vestitii,
Rubus subsect. Rubus,
Rubus sulcatus,Rubus sulcatus
Rubus sylvulicola,Rubus sylvulicola
Rubus tabanimontanus,
Rubus tereticaulis,Rubus tereticaulis
Rubus thyrsiflorus,Rumex thyrsiflorus
Rubus vestitus,Rubus vestitus
Rubus weizensis,Rubus weizensis
Rudbeckia fulgida,
Rudbeckia hirta,Rudbeckia hirta
Rudbeckia laciniata,Rudbeckia laciniata
Rumex acetosa,Rumex acetosa subsp. acetosa
Rumex acetosella s.lat.,
Rumex acetosella ssp. acetosella,Rumex acetosella subsp. acetosella
Rumex acetosella ssp. pyrenaicus,Rumex acetosella subsp. pyrenaicus
Rumex alpestris,Rumex alpestris subsp. alpestris
Rumex alpinus,Rumex alpinus
Rumex aquaticus,Rumex aquaticus
Rumex conglomeratus,Rumex conglomeratus
Rumex crispus,Rumex crispus
Rumex hydrolapathum,Rumex hydrolapathum
Rumex kerneri,Rumex kerneri
Rumex longifolius,Rumex longifolius
Rumex maritimus,Rumex maritimus
Rumex nivalis,Rumex nivalis
Rumex obtusifolius s.lat.,
