Taxon,L,T,K,F,R,N,,FZ,S
Atropa bella-donna,6,5,5,5,8,8,,,0
Aubrieta columnae,7,6,4,2,7,2,,,0
Aubrieta deltoidea,7,7,5,3,7,3,,,0
Aucuba japonica,5,9,3,5,6,7,,,0
Aurinia petraea,9,6,5,2,9,3,,,0
Aurinia saxatilis,9,7,7,2,6,1,,,0
Avena barbata,8,8,6,3,5,5,,,2
Avena fatua,8,6,8,5,7,i,,,0
Avena nuda,7,7,5,5,5,5,,,0
Avena sativa,8,6,i,5,6,7,,,0
Avena sterilis,8,9,7,2,4,5,,,0
Avena sterilis subsp. ludoviciana,8,9,7,2,5,5,,,0
Avena sterilis subsp. sterilis,8,9,7,2,3,5,,,0
Avena strigosa,7,6,i,5,5,5,,,0
Avenella flexuosa,4,i,4,i,2,3,,,0
Avenula pubescens,7,5,i,4,i,5,,,1
Avenula pubescens var. alpina,7,3,5,4,i,4,,,0
Avenula pubescens var. pubescens,7,5,i,4,i,5,,,1
Azolla filiculoides,7,8,i,11,6,8,,,0
Azolla mexicana,7,9,4,11,7,5,,,0
Ballota nigra,7,6,i,5,7,8,,,1
Ballota nigra subsp. meridionalis,7,6,5,5,7,8,,,1
Ballota nigra subsp. nigra,7,6,6,5,7,8,,,1
Barbarea intermedia,8,6,3,6,7,7,,,0
Barbarea stricta,8,6,6,7,7,8,,=,0
Barbarea verna,8,7,2,5,6,6,,,0
Barbarea vulgaris,8,5,i,6,6,6,,,0
Barbarea vulgaris subsp. arcuata,8,6,i,6,6,6,,,0
Barbarea vulgaris subsp. vulgaris,8,5,i,6,6,6,,,0
Bartsia alpina,8,3,5,6,7,3,,~,0
Bartsia trixago,8,8,6,2,6,3,,,1
Bassia hysopifolia,9,7,9,2,6,8,,,3
Bassia laniflora,9,8,7,2,7,2,,,0
Bassia prostrata,9,8,9,2,8,2,,,0
Bassia scoparia,8,7,8,4,6,5,,,1
Beckmannia syzigachne,7,7,4,9,7,3,,,0
Bellardiochloa variegata,8,3,5,4,5,3,,,0
Bellidiastrum michelii,7,3,5,6,8,4,,,0
Bellis perennis,8,5,4,5,5,6,,,1
Berberis aquifolium,4,6,3,4,6,5,,,0
Berberis julianae,5,7,3,5,5,5,,,0
Berberis thunbergii,5,7,3,5,5,5,,,0
Berberis vulgaris,7,6,5,4,8,3,,,0
Bergenia crassifolia,5,6,3,5,5,5,,,0
Berteroa incana,9,6,7,3,7,4,,,0
Berteroa mutabilis,8,8,4,3,4,5,,,0
Berula erecta,7,6,i,10,8,6,,,1
Beta trigyna,9,9,6,4,5,4,,,0
Beta vulgaris,9,7,4,6,7,8,,,5
Betonica alopecuros,7,3,5,4,8,3,,,0
Betonica hirsuta,7,3,8,3,8,3,,,0
Betonica officinalis,7,6,5,4,6,3,,~,1
Betula humilis,7,5,7,9,4,2,,,0
Betula nana,8,3,7,9,1,1,,,0
Betula pendula,8,i,i,i,i,i,,,1
Betula pubescens,8,i,i,i,3,3,,,0
Betula pubescens subsp. carpatica,8,4,6,6,4,3,,,0
Betula pubescens subsp. pubescens,8,i,i,8,3,3,,,0
Bidens bipinnata,7,7,5,8,6,8,,=,0
Bidens cernua,8,6,5,9,7,8,,=,1
Bidens connata,8,7,5,9,7,8,,=,1
Bidens ferulifolia,7,9,3,6,5,5,,,0
Bidens frondosa,7,6,6,8,7,8,,=,1
Bidens pilosa,8,8,5,8,6,8,,,1
Bidens radiata,8,6,6,9,5,8,,=,1
Bidens tripartita subsp. tripartita,8,6,7,8,6,8,,=,1
Bifora radians,7,7,4,4,8,6,,,0
Biscutella laevigata,8,i,i,2,7,2,,,0
Biscutella laevigata subsp. austriaca,8,5,5,2,8,2,,,0
Biscutella laevigata subsp. kerneri,8,6,6,2,7,2,,,0
Biscutella laevigata subsp. laevigata,8,3,5,3,8,3,,,0
Bistorta amplexicaulis,6,7,3,6,6,7,,,0
Bistorta officinalis,7,4,7,7,5,5,,,0
Bistorta vivipara,7,2,i,5,4,3,,~,0
Blackstonia perfoliata,8,8,i,6,i,3,,~,1
Blackstonia perfoliata subsp. perfoliata,8,7,4,6,9,4,,~,1
Blackstonia perfoliata subsp. serotina,8,9,6,7,6,3,,~,2
Blitum bonus-henricus,8,5,4,5,7,9,,,1
Blitum capitatum,7,5,5,5,5,8,,,0
Blitum virgatum,8,5,7,4,7,8,,,1
Blysmus compressus,8,5,5,8,7,3,,,2
Bolboschoenus laticarpus,8,6,7,10,8,6,,~,1
Bolboschoenus maritimus,8,6,7,10,8,7,,~,5
Bolboschoenus maritimus agg.,8,6,7,10,8,6,,~,3
Bolboschoenus planiculmis,8,6,6,10,7,6,,,2
Bolboschoenus yagara,8,6,6,10,7,6,,~,2
Bombycilaena erecta,9,9,i,2,9,1,,,0
Borago officinalis,8,6,5,4,5,7,,,0
Botriochloa ischoemum,9,7,6,3,8,3,,,1
Botrychium lanceolatum,8,3,5,4,3,3,,,0
Botrychium lunaria,7,i,i,i,i,2,,,0
Botrychium matricariifolium,6,4,4,5,3,2,,,0
Botrychium multifidum,6,4,6,6,4,2,,,0
Botrychium simplex,9,3,5,6,2,2,,,0
Botrychium virginianum,6,4,5,6,8,5,,,0
Brachypodium distachyon,9,9,3,1,4,3,,,0
Brachypodium pinnatum,7,5,6,4,6,4,,~,0
Brachypodium rupestre,6,5,5,4,7,3,,~,0
Brachypodium rupestre subsp. caespitosum,6,5,5,3,7,3,,~,0
Brachypodium rupestre subsp. rupestre,6,6,5,4,7,3,,~,0
Brachypodium sylvaticum subsp. sylvaticum,4,5,4,5,6,6,,,0
Brassica elongata,9,7,7,4,8,5,,,1
Brassica juncea,8,7,6,4,6,6,,~,0
Brassica napus,7,6,4,5,6,7,,,1
Brassica nigra,8,7,5,5,8,7,,,1
Brassica oleracea,8,7,2,5,i,8,,,3
Brassica rapa,8,6,3,5,5,7,,,1
Braya alpina,9,1,4,4,7,1,,,0
Briza maxima,8,9,5,2,4,2,,,0
Briza media,8,i,4,i,i,3,,,0
Briza minor,8,9,5,3,4,3,,,0
Bromus arvensis,7,6,i,4,8,6,,,0
Bromus arvensis subsp. arvensis,7,6,i,4,8,6,,,0
Bromus arvensis subsp. segetalis,6,6,i,4,8,6,,,0
Bromus benekenii,5,5,5,5,8,5,,,0
Bromus carinatus,7,7,i,5,5,7,,,0
Bromus catharticus,7,8,3,3,7,7,,,0
Bromus commutatus,7,6,4,5,7,5,,~,1
Bromus condensatus,8,8,6,2,7,3,,,0
Bromus diandrus,8,9,5,3,5,5,,,1
Bromus erectus,8,5,4,3,7,3,,~,0
Bromus erectus agg.,7,i,5,i,7,3,,~,0
Bromus hordeaceus,8,i,i,i,i,6,,~,1
Bromus hordeaceus subsp. hordeaceus,8,6,i,5,i,6,,~,1
Bromus hordeaceus subsp. lepidus,8,7,3,2,7,5,,,0
Bromus hordeaceus subsp. pseudothominei,7,7,3,3,5,7,,,0
Bromus hordeaceus subsp. thominei,8,7,4,4,7,4,,~,1
Bromus inermis,8,6,7,5,7,5,,~,1
Bromus inermis subsp. inermis,8,6,7,4,7,5,,~,1
Bromus inermis subsp. pumpellianus,7,6,8,6,7,6,,,0
Bromus japonicus,8,7,7,4,7,5,,,0
Bromus japonicus subsp. japonicus,8,7,7,4,7,5,,,0
Bromus japonicus subsp. subsquarrosus,8,7,7,4,7,5,,,1
Bromus lanceolatus,7,9,7,3,5,5,,,0
Bromus madritensis,8,8,6,2,i,3,,,2
Bromus pannonicus,8,7,6,3,8,3,,,0
Bromus racemosus,7,6,4,6,7,5,,~,1
Bromus racemosus agg.,7,6,4,i,7,5,,~,1
Bromus ramosus,5,6,3,5,7,6,,,0
Bromus rigidus,8,8,6,2,8,5,,,2
Bromus riparius,7,5,9,3,5,5,,,0
Bromus secalinus,7,6,i,5,5,5,,~,0
Bromus secalinus subsp. decipiens,7,6,7,5,5,5,,~,1
Bromus secalinus subsp. secalinus,8,6,7,4,5,5,,,0
Bromus secalinus subsp. velutinus,8,8,6,3,7,5,,,0
Bromus secalinus subsp. velutinus,8,8,6,4,5,5,,~,0
Bromus sitchensis,7,7,3,3,7,7,,,0
Bromus squarrosus,9,8,7,3,7,4,,,0
Bromus sterilis,6,6,5,4,6,7,,,0
Bromus tectorum,8,6,7,3,8,6,,,1
Broussonetia papyrifera,7,9,5,5,5,5,,,0
Brunnera macrophylla,3,7,3,5,5,5,,,0
Bryonia alba,7,7,7,4,7,7,,,0
Bryonia dioica,7,7,5,5,7,7,,,0
Buddleja davidii,8,7,i,4,7,4,,,0
Buglossoides arvensis,7,6,5,4,7,5,,,0
Buglossoides incrassata subsp. splitgerberi,7,6,5,3,7,5,,,0
Bunias erucago,8,8,5,4,8,5,,,0
Bunias orientalis,7,6,6,5,7,6,,,1
Bunium bulbocastanum,7,8,2,4,9,4,,,0
Buphthalmum salicifolium,8,i,4,4,8,3,,,0
Bupleurum affine,8,7,7,2,8,3,,,0
Bupleurum baldense,9,8,5,2,7,2,,,0
Bupleurum falcatum subsp. falcatum,6,6,6,3,7,3,,,0
Bupleurum fontanesii,9,9,4,3,7,3,,,0
Bupleurum gerardii,7,7,5,2,7,3,,,0
Bupleurum lancifolium,7,5,6,4,9,5,,,0
Bupleurum longifolium,6,i,6,4,8,5,,,0
Bupleurum longifolium subsp. longifolium,6,5,6,4,8,5,,,0
Bupleurum longifolium subsp. vapincense,7,4,4,4,9,5,,,0
Bupleurum pachnospermum,7,7,7,3,8,4,,,0
Bupleurum petraeum,9,4,5,3,9,2,,,0
Bupleurum praealtum,7,8,7,4,8,3,,,0
Bupleurum ranunculoides subsp. ranunculoides,9,2,3,5,9,3,,,0
Bupleurum rotundifolium,8,7,5,4,9,4,,,0
Bupleurum stellatum,8,3,6,3,3,3,,,0
Bupleurum tenuissimum,9,8,6,6,8,4,,~,6
Butomus umbellatus,7,6,5,10,7,7,,,1
Buxus sempervirens,4,8,2,4,8,4,,,0
Cabomba caroliniana,7,9,5,12,5,6,,,0
Calamagrostis arundinacea,6,5,4,5,4,5,,,0
Calamagrostis canescens,6,6,5,9,6,5,,=,0
Calamagrostis epigejos,7,5,7,5,i,6,,~,1
Calamagrostis pseudophragmites,8,5,7,7,8,3,,=,0
Calamagrostis purpurea,7,4,5,8,5,3,,=,0
Calamagrostis stricta,8,5,7,9,6,2,,~,0
Calamagrostis varia,7,4,5,5,8,3,,~,0
Calamagrostis villosa,6,3,5,6,2,2,,~,0
Caldesia parnassiifolia,7,7,6,10,8,7,,,1
Calendula arvensis,8,8,i,4,8,6,,,1
Calendula officinalis,8,7,5,5,6,6,,,0
Calepina irregularis,8,8,6,3,8,5,,,1
Calla palustris,6,6,7,10,6,4,,~,0
Callianthemum anemonoides,5,4,5,5,9,3,,,0
Callianthemum coriandrifolium,8,2,4,5,7,4,,,0
Callistephus chinensis,7,8,2,5,5,5,,,0
Callitriche cophocarpa,8,5,6,10,5,5,,~,0
Callitriche hamulata,8,4,4,10,3,5,,~,1
Callitriche obtusangula,8,6,2,11,7,6,,,2
Callitriche palustris,6,5,i,10,5,5,,~,0
Callitriche palustris agg.,i,i,i,10,i,i,,~,1
Callitriche platycarpa,7,6,3,10,5,6,,~,0
Callitriche stagnalis,6,5,4,10,4,4,,~,1
Calluna vulgaris,8,i,i,i,2,1,,~,0
Caltha palustris,6,i,4,9,6,6,,=,0
Calystegia pulchra,7,6,3,5,7,7,,,0
Calystegia sepium,7,6,5,7,7,8,,,0
Calystegia silvatica,7,8,5,7,7,7,,,0
Calystegia soldanella,9,7,3,4,6,4,,,0
Camelina alyssum,7,6,7,5,6,4,,,0
Camelina alyssum subsp. alyssum,7,7,7,5,6,4,,,0
Camelina alyssum subsp. integerrima,7,6,7,5,6,4,,,0
Camelina microcarpa,7,6,7,4,8,4,,,0
Camelina microcarpa subsp. microcarpa,7,6,7,3,8,5,,,0
Camelina microcarpa subsp. sylvestris,7,6,7,4,7,5,,,0
Camelina rumelica,7,6,8,4,8,4,,,0
Camelina sativa,7,7,7,4,7,5,,,0
Camelina sativa var. sativa,7,7,7,4,7,5,,,0
Camelina sativa var. zingeri,7,7,6,4,7,5,,,0
Campanula alliariifolia,7,8,3,4,7,5,,,0
Campanula alpina,7,2,4,4,i,2,,,0
Campanula barbata,7,2,6,5,2,2,,,0
Campanula barbata var. barbata,7,2,6,5,2,2,,,0
Campanula barbata var. strictopedunculata,7,2,7,5,2,2,,,0
Campanula beckiana,6,6,5,4,7,4,,,0
Campanula bononiensis,7,7,8,3,8,3,,,0
Campanula carnica subsp. carnica,6,4,4,4,9,2,,,0
Campanula carpatica,7,7,7,2,7,3,,,0
Campanula cenisia,8,1,6,5,8,3,,,0
Campanula cervicaria,7,6,6,5,7,4,,~,0
Campanula cespitosa,8,4,5,3,9,3,,~,0
Campanula cochleariifolia,7,3,4,4,7,3,,~,0
Campanula garganica,7,8,5,2,7,2,,,0
Campanula gentilis,8,6,5,1,9,1,,,0
Campanula glomerata,7,6,7,4,7,3,,~,0
Campanula latifolia,4,5,5,6,8,7,,,0
Campanula medium,7,7,5,5,6,4,,,0
Campanula moravica,7,6,6,3,7,3,,,0
Campanula patula,7,6,i,5,6,5,,,0
Campanula patula subsp. costae,7,7,7,4,6,5,,,0
Campanula patula subsp. jahorinae,7,6,7,4,6,5,,,0
Campanula patula subsp. patula,7,6,5,6,6,5,,,0
Campanula persicifolia,5,6,5,4,i,3,,,0
Campanula portenschlagiana,7,7,5,3,7,3,,,0
Campanula poscharskyana,7,7,7,3,7,3,,,0
Campanula praesignis,7,4,6,2,9,2,,,0
Campanula pulla,8,2,5,6,7,3,,,0
Campanula pyramidalis,7,8,7,3,7,5,,,0
Campanula rapunculoides,6,6,5,4,7,5,,,0
Campanula rapunculus,8,7,7,3,6,4,,,0
Campanula rhomboidalis,6,3,4,5,5,7,,,0
Campanula rotundifolia,7,5,i,3,i,2,,,0
Campanula scheuchzeri,8,2,5,5,i,3,,,0
Campanula sibirica,9,7,7,2,8,2,,,0
Campanula spicata,7,6,8,2,6,3,,,0
Campanula thyrsoides,8,4,4,4,7,3,,,0
Campanula thyrsoides subsp. carniolica,8,4,4,4,7,2,,,0
Campanula thyrsoides subsp. thyrsoides,8,3,4,4,7,3,,,0
Campanula trachelium,4,5,4,6,7,6,,,0
Campanula witasekiana,7,3,5,4,i,3,,,0
Campanula zoysii,7,2,5,3,9,2,,,0
Camphorosma annua,9,7,8,2,8,1,,~,9
Cannabis sativa,8,7,8,6,6,7,,,1
Capsella bursa-pastoris,7,5,i,5,6,i,,,0
Capsella rubella,8,9,5,3,6,4,,,0
Capsicum annuum,7,8,3,4,5,7,,,0
Caragana arborescens,7,5,7,4,5,5,,,0
Cardamine alpina,9,1,4,7,4,4,,,0
Cardamine amara,6,i,5,9,6,4,,=,0
Cardamine amara subsp. amara,5,6,5,9,6,5,,=,0
Cardamine amara subsp. austriaca,5,4,5,9,6,5,,=,0
Cardamine bulbifera,4,5,5,5,7,6,,,0
Cardamine dentata,6,6,6,9,7,4,,=,0
Cardamine enneaphyllos,4,4,5,6,7,7,,~,0
Cardamine flexuosa,5,5,4,7,5,6,,,0
Cardamine glanduligera,4,4,6,6,6,7,,,0
Cardamine hirsuta,7,6,4,5,5,6,,,0
Cardamine impatiens,5,i,5,6,7,7,,,0
Cardamine kitaibelii,3,5,5,6,7,7,,,0
Cardamine majovskii,7,6,6,8,6,5,,~,0
Cardamine matthioli,7,6,5,8,6,5,,~,0
Cardamine occulta,6,6,4,6,6,7,,,1
Cardamine parviflora,8,7,6,7,7,6,,=,1
Cardamine pentaphyllos,3,5,4,5,7,6,,,0
Cardamine pratensis,7,i,i,6,6,6,,,1
Cardamine pratensis agg.,7,i,i,7,7,6,,=,1
Cardamine resedifolia,8,2,4,6,3,3,,,0
Cardamine rivularis,8,3,5,9,5,1,,~,0
Cardamine trifolia,3,4,5,6,7,6,,,0
Cardamine udicola,7,6,5,8,6,5,,~,0
Cardamine waldsteinii,4,6,5,6,6,6,,,0
Carduus acanthoides,9,6,6,3,7,7,,,0
Carduus carduelis,6,4,4,5,7,5,,,0
Carduus crispus,6,6,i,6,7,8,,,1
Carduus defloratus,7,4,5,3,8,4,,,0
Carduus defloratus subsp. glaucus,6,5,6,3,9,4,,,0
Carduus defloratus subsp. summanus,7,3,5,3,9,4,,,0
Carduus defloratus subsp. tridentinus,7,4,6,3,5,4,,,0
Carduus defloratus subsp. viridis,7,4,5,4,7,4,,~,0
Carduus hamulosus,9,8,7,3,8,2,,,0
Carduus nutans,8,7,i,3,7,7,,,0
Carduus nutans subsp. macrolepis,7,8,i,2,6,7,,,0
Carduus nutans subsp. nutans,8,7,i,3,7,7,,,0
Carduus nutans subsp. platylepis,7,7,6,3,7,7,,,0
Carduus personata subsp. personata,7,4,4,7,8,7,,,0
Carex acuta,7,5,i,9,6,6,,=,1
Carex acutiformis,7,5,i,9,7,6,,~,1
Carex alba,5,5,6,4,8,3,,~,0
Carex appropinquata,8,5,5,9,7,4,,=,0
Carex atrata,9,2,6,6,7,3,,~,0
Carex atrata subsp. aterrima,9,2,6,6,7,4,,~,0
Carex atrata subsp. atrata,9,2,6,6,7,2,,~,0
Carex atrofusca,9,2,5,8,8,2,,,0
Carex baldensis,8,3,5,4,8,3,,,0
Carex bebbii,7,6,4,7,4,4,,,0
Carex bicolor,9,2,7,9,7,1,,=,0
Carex bigelowii subsp. rigida,9,2,i,6,2,2,,~,0
Carex bohemica,8,5,6,8,5,5,,=,0
Carex brachystachys,5,3,4,7,9,2,,,0
Carex brizoides,5,5,5,6,4,3,,~,0
Carex brunnescens,7,2,6,8,3,2,,~,0
Carex brunnescens var. brunnescens,8,2,6,8,3,2,,~,0
Carex brunnescens var. laetior,6,3,6,7,3,3,,~,0
Carex buekii,8,6,8,9,7,6,,=,0
Carex buxbaumii,7,6,7,8,7,3,,~,1
Carex canescens,7,4,i,9,3,2,,,0
Carex capillaris,8,1,6,7,8,2,,~,0
Carex capitata,9,4,7,8,7,1,,~,0
Carex caryophyllea,8,i,i,4,i,3,,,0
Carex cespitosa,6,6,7,9,6,4,,~,0
Carex chordorrhiza,9,5,6,9,3,2,,=,0
Carex cristatella,7,7,3,8,5,4,,=,0
Carex curvata,6,7,7,5,5,4,,~,1
Carex curvula,9,1,5,4,i,2,,,0
Carex curvula subsp. curvula,9,1,5,4,3,2,,,0
Carex curvula subsp. rosae,9,1,5,4,7,2,,,0
Carex davalliana,9,i,5,9,8,2,,,0
Carex demissa,8,5,4,9,4,2,,,0
Carex depressa subsp. transsilvanica,7,6,7,5,5,3,,,0
Carex diandra,8,6,6,9,5,3,,~,0
Carex digitata,3,5,5,5,6,4,,,0
Carex dioica,9,4,i,9,5,2,,,0
Carex distans,9,7,i,7,7,4,,~,5
Carex disticha subsp. disticha,8,6,i,9,7,5,,~,2
Carex divisa,8,7,6,8,7,3,,,2
Carex divulsa,6,7,3,5,6,6,,,0
Carex echinata,7,5,i,8,3,2,,~,0
Carex elata,7,6,4,10,6,5,,~,1
Carex elongata,4,6,5,9,6,6,,~,0
Carex ericetorum,8,i,6,4,5,2,,,0
Carex ferruginea,8,3,5,6,8,5,,~,0
Carex firma,9,2,5,i,9,1,,~,0
Carex flacca subsp. flacca,7,i,i,i,7,3,,~,1
Carex flava,8,5,i,9,7,3,,,0
Carex flava var. alpina,8,3,i,9,7,2,,,0
Carex flava var. flava,8,5,i,9,7,3,,,0
Carex foetida,9,2,6,6,4,5,,,0
Carex frigida,8,2,3,8,7,3,,,0
Carex fritschii,6,7,6,4,4,4,,~,0
Carex fuliginosa,9,2,5,7,3,2,,,0
Carex grayi,7,8,5,8,6,5,,=,0
Carex halleriana,6,8,5,2,9,3,,,0
Carex hartmaniorum,7,6,7,8,i,3,,~,0
Carex heleonastes,7,5,7,9,4,2,,=,0
Carex hirta,7,6,i,6,i,5,,~,1
Carex hordeistichos,8,7,8,7,7,5,,~,3
Carex hostiana,8,5,4,9,7,2,,~,0
Carex humilis,i,i,6,2,b,2,,,0
Carex lachenalii,9,2,4,7,3,2,,,0
Carex lasiocarpa,9,4,6,9,4,2,,=,0
Carex lepidocarpa,8,5,i,9,8,2,,,0
Carex leporina,7,5,i,7,3,4,,~,0
Carex limosa,9,4,i,10,2,2,,~,0
Carex liparocarpos,8,8,7,2,8,2,,,0
Carex maritima,9,1,7,9,7,2,,=,0
Carex melanostachya,7,7,7,8,7,5,,~,2
Carex michelii,6,6,6,3,7,4,,,0
Carex microglochin,9,3,7,9,6,1,,,0
Carex montana,5,i,5,4,7,4,,~,0
Carex mucronata,9,3,6,3,9,1,,,0
Carex muricata,5,6,6,5,6,5,,,0
Carex muskingumensis,7,7,4,8,5,5,,=,0
Carex myosuroides,9,1,7,3,6,1,,,0
Carex nigra,8,5,i,8,3,3,,~,1
Carex norvegica,9,2,5,8,4,2,,~,0
Carex oederi,8,5,3,9,7,2,,~,3
Carex ornithopoda,7,i,5,3,9,3,,,0
Carex ornithopodoides,9,1,5,4,8,3,,,0
Carex otomana,5,6,5,5,6,6,,,0
Carex otrubae,8,6,i,8,7,6,,=,3
Carex pairei,5,5,3,5,5,5,,,0
Carex pallescens,7,5,i,6,4,4,,~,1
Carex panicea,8,i,i,8,i,3,,~,1
Carex paniculata,7,5,4,9,7,5,,,1
Carex parviflora,9,1,5,7,7,3,,,0
Carex pauciflora,9,3,5,9,1,1,,,0
Carex paupercula,8,3,6,9,3,2,,=,0
Carex pendula,5,5,i,8,6,6,,~,0
Carex pendula subsp. agastachys,5,5,4,8,6,6,,~,0
Carex pendula subsp. pendula,5,5,3,8,6,6,,~,0
Carex pilosa,3,6,6,5,5,5,,~,0
Carex pilulifera,6,i,4,5,3,3,,~,0
Carex polyphylla,6,7,4,5,6,6,,,0
Carex praecox,8,7,6,4,i,3,,~,1
Carex pseudocyperus,7,6,i,9,6,6,,=,1
Carex pulicaris,8,4,3,8,i,2,,,0
Carex punctata,8,6,4,8,6,3,,~,1
Carex randalpina,7,6,5,9,7,5,,=,1
Carex remota,4,5,i,8,6,6,,~,0
Carex repens,8,6,6,4,6,4,,,1
Carex rhizina,5,6,7,5,6,4,,,0
Carex riparia,7,6,i,9,7,7,,=,1
Carex rostrata,8,i,i,10,4,3,,,0
Carex rupestris,9,2,7,4,7,1,,,0
Carex scandinavica,7,6,3,7,7,5,,~,1
Carex scoparia,7,6,5,8,4,6,,=,0
Carex secalina,8,7,8,7,7,6,,=,4
Carex sempervirens,7,2,4,4,7,3,,,0
Carex simpliciuscula,9,2,8,8,7,2,,=,0
Carex spicata,7,5,i,5,5,6,,~,0
Carex stenophylla,9,7,6,2,6,2,,,1
Carex strigosa,3,6,2,7,6,6,,=,0
Carex supina,9,7,8,2,7,2,,,0
Carex sylvatica,3,5,i,6,6,5,,~,0
Carex tomentosa,7,6,6,6,8,4,,~,1
Carex umbrosa,6,5,5,6,5,4,,~,0
Carex vaginata,8,3,7,7,4,2,,,0
Carex vesicaria,7,i,i,9,6,5,,=,1
Carex vulpina,8,6,6,8,5,5,,=,1
Carex vulpinoidea,7,7,3,7,3,5,,,0
Carlina acaulis,8,i,5,4,i,2,,,0
Carlina acaulis subsp. acaulis,8,i,6,4,i,2,,,0
Carlina acaulis subsp. caulescens,8,i,4,4,i,2,,,0
Carlina biebersteinii,7,5,7,4,7,3,,,0
Carlina biebersteinii subsp. biebersteinii,7,4,6,4,7,4,,,0
Carlina biebersteinii subsp. brevibracteata,8,6,7,4,7,3,,,0
Carlina vulgaris,8,5,4,4,7,3,,,0
Carpesium cernuum,5,7,i,6,7,7,,,0
Carpinus betulus,4,6,5,i,i,i,,,0
Carpobrotus edulis,9,9,4,1,6,2,,,6
Carthamus tinctorius,9,9,5,3,5,5,,,0
Carum carvi,8,4,5,5,6,6,,,1
Castanea sativa,5,7,5,5,4,4,,,0
Catabrosa aquatica,8,5,i,9,7,7,,=,1
Catalpa bignonioides,8,8,4,4,5,4,,,0
Catapodium rigidum subsp. rigidum,9,7,3,2,7,4,,,2
Caucalis platycarpos,8,7,5,3,8,5,,,0
Celtis australis,7,9,3,3,6,4,,,0
Celtis occidentalis,7,9,5,5,6,4,,,0
Cenchrus purpurascens,7,9,3,2,i,3,,,0
Cenchrus spinifex,9,8,6,1,8,2,,,0
Centaurea apiculata subsp. spinulosa,8,7,3,2,8,3,,,0
Centaurea calcitrapa,9,8,i,3,6,6,,,0
Centaurea cyanus,8,6,i,5,i,6,,,0
Centaurea dichroantha,9,6,5,4,6,5,,,0
Centaurea diffusa,9,8,8,2,7,3,,,0
Centaurea diluta,9,7,2,3,7,7,,,0
Centaurea jacea,7,i,6,5,6,5,,~,1
Centaurea jacea subsp. angustifolia,8,7,6,4,6,4,,~,1
Centaurea jacea subsp. gaudinii,7,5,7,4,7,3,,,0
Centaurea jacea subsp. jacea,7,5,4,5,6,4,,~,0
Centaurea jacea subsp. macroptilon,7,5,5,4,6,5,,,0
Centaurea jacea subsp. subjacea,7,5,6,5,6,5,,,0
Centaurea jacea subsp. weldeniana,7,6,7,4,7,3,,,0
Centaurea montana,6,4,4,4,7,5,,,0
Centaurea nervosa,7,3,5,5,5,5,,,0
Centaurea nigra,8,5,3,5,5,4,,,0
Centaurea nigrescens,7,5,5,5,6,4,,~,0
Centaurea nigrescens subsp. nigrescens,8,6,5,5,6,4,,~,0
Centaurea nigrescens subsp. transalpina,7,5,5,4,6,4,,~,0
Centaurea nigrescens subsp. vochinensis,7,5,6,6,6,5,,~,0
Centaurea pseudophrygia,8,4,5,5,5,5,,,0
Centaurea rupestris,8,7,5,3,9,2,,,0
Centaurea scabiosa,7,i,i,4,8,4,,,0
Centaurea scabiosa subsp. alpestris,8,3,5,4,8,3,,,0
Centaurea scabiosa subsp. badensis,7,7,6,2,9,2,,,0
Centaurea scabiosa subsp. fritschii,7,6,5,3,8,3,,,0
Centaurea scabiosa subsp. sadleriana,8,8,6,2,8,2,,,0
Centaurea scabiosa subsp. scabiosa,7,6,i,3,8,4,,,0
Centaurea solstitialis,8,8,i,3,7,6,,,1
Centaurea stenolepis,7,6,6,4,7,4,,,0
Centaurea stoebe,8,7,i,2,7,3,,,0
Centaurea stoebe subsp. australis,8,7,7,2,7,2,,,0
Centaurea stoebe subsp. stoebe,8,7,6,2,7,4,,,0
Centaurea triumfettii,7,7,6,3,7,3,,,0
Centaurea triumfettii subsp. adscendens,7,7,5,3,7,3,,,0
Centaurea triumfettii subsp. axillaris,7,7,6,3,7,3,,,0
Centaurium erythraea,8,6,5,6,6,4,,~,0
Centaurium littorale subsp. compressum,8,7,i,7,8,3,,=,5
Centaurium pulchellum,8,6,7,6,8,3,,~,2
Centranthus ruber,7,8,5,3,8,4,,,1
Cephalanthera damasonium,3,6,5,4,7,4,,,0
Cephalanthera longifolia,5,5,5,4,7,4,,,0
Cephalanthera rubra,4,5,5,3,8,4,,,0
Cephalaria alpina,7,4,6,5,7,5,,,0
Cephalaria gigantea,7,6,5,4,8,6,,,0
Cephalaria syriaca,8,8,6,4,6,3,,,0
Cephalaria transsylvanica,8,8,6,4,6,3,,~,0
Cerastium alpinum,9,1,6,4,4,2,,,0
Cerastium alpinum agg.,9,1,6,4,i,2,,,0
Cerastium arvense,8,i,6,3,i,3,,,0
Cerastium arvense subsp. arvense,8,6,6,4,7,4,,,0
Cerastium arvense subsp. molle,8,5,6,4,7,3,,,0
Cerastium arvense subsp. strictum,9,3,6,3,6,2,,,0
Cerastium arvense subsp. suffruticosum,8,4,6,3,5,3,,,0
Cerastium brachypetalum,9,7,4,3,7,2,,,0
Cerastium brachypetalum subsp. brachypetalum,9,7,4,3,7,2,,,0
Cerastium brachypetalum subsp. tenoreanum,9,7,5,3,7,2,,,0
Cerastium carinthiacum,8,2,5,4,8,3,,,0
Cerastium carinthiacum var. austroalpinum,8,2,5,3,8,3,,,0
